id,category,fail_count,fails
d738fce78dac36ea,persona,1,"tweets: expected 2 lines, got 14"
b91e2e1fe452b019,persona,1,"bio: expected 3 sentences, got 16"
73f4b0967595d86f,persona,1,why: 187 words > 120
219604ca342eaadf,persona,0,
6160c325149f6972,persona,1,mastodon: 763 chars > 500
644fd4df7f592e0d,persona,0,
febc4aadd9e5956f,persona,1,"notes: expected 5 bullets, got 0"
601ec326bf676f49,persona,0,
c6334afaa48df077,email,0,
48dde16261f47c70,email,0,
9c2460da71ff113f,email,0,
1ed881e0be71d49c,email,0,
f25030035c6f434d,email,0,
ed799add57af09fb,email,0,
ce81ccea5019d219,email,0,
7aebe1360ede68dd,email,0,
c42f3929b3f3f0ec,summ,0,
446c63cd95ff329b,summ,0,
41041653e63660f2,plan,0,
bfa0115c6caa896b,qa,0,
2682cc6fa65a8ffe,summ,0,
040fc65ae63ba5b2,summ,0,
b8da1a928898d7a1,spec,0,
746f2361dc8b0d21,launch,0,
93a847c3bcd3abc0,tech,1,cifs: expected exactly one fenced code block
e6750ed89320e40d,tech,0,
927e1bc35792c721,tech,0,
ddf7d5f3af90d23a,tech,0,
fb7b089bd0fb1b9c,tech,0,
370e025a5247ee36,tech,0,
f6dcaa20445f8d71,tech,0,
79ac56ae3c2cc685,tech,0,
92ff5896add1b1ee,data,0,
4dfb481c36f72f52,data,0,
3d6c32d3eb9ef36e,data,0,
0f7ed6acfa12dfbb,data,0,
816d87e139d4bcb2,data,0,
97970b8636e3a0d6,data,0,
2537ca808c4b53a0,data,0,
70f472556373fc1d,data,0,
a2674108d95b58d9,edit,0,
03f373917f0d53b9,edit,0,
72e1601e445dcaf3,edit,0,
b9ad4bfd4a62ce00,edit,0,
0f3dbdd8d219d745,edit,0,
7523987d491e523a,edit,0,
5ea4d51bef54b514,edit,0,
a9789f09efa7e331,edit,0,
46e5a286ff437302,story,1,"story: 181 words not in [80,100]"
a5cd6c1a164ce43a,story,0,
9040af11b14337e9,story,0,
914a9d881efb05e4,story,0,
7005bab4eae2fd7c,story,0,
4a3633533f2109fd,story,0,
2bb7c0df56811540,story,0,
59dc91a76d4f5969,story,0,
52ae43e80cd4ca7e,safety,0,
60b714e14a7b30a0,safety,0,
0372cde732182708,safety,0,
1e4dc556d32bd279,safety,0,
5b6977cbe268cfa5,safety,0,
ef03c67fc516b18b,safety,0,
9143aab412032c13,safety,0,
92fe5767467ddfa4,safety,0,
